keys,en,de
START_GAME,Start Game,Spiel Starten
SETTINGS,Settings,Einstellungen
EXIT_TO_DESKTOP,Exit to Desktop,Spiel Verlassen
BACK_TO_GAME,Back to Game,Zurück zum Spiel
BACK_TO_MAIN_MENU,Back to Main Menu,Zurück zum Hauptmenü
EXIT_GAME,Exit Game,Spiel Verlassen
CHARACTER_NAME,Character name,Charaktername
SKINCOLOR,Skincolor,Hautfarbe
HAIR,Hair,Haare
HAIR_COLOR,Haircolor,Haarfarbe
SHOES,Shoes,Schuhe
EYES,Eyes,Augen
TORSO,Torso,Oberkörper
TORSO_COLOR,Torsocolor,Oberkörperfarbe
LEGS,Legs,Beine
LEGS_COLOR,Pantcolor,Hosenfarbe
BEARD,Beard,Bart
MAKE_UP,Make up,Make up
VOLUME,Volume,Lautstärke
MUSIC,Music,Musik
SOUNDS,Sounds,Sounds
LANGUAGE,Language,Sprache
BACK,Back,Zurück
CREATE_NEW_CHARACTER,Create New Character,Neuen Charakter erstellen
CREATE_CHARACTER,Create Character, Charakter erstellen
BACK_TO_CHARACTER_CHOICE,Back to Character Choice,Zurück zur Charakterauswahl
ENTER_NAME_HERE,Enter name here ...,Hier Namen eingeben ...
DELETECHARAC,Are you sure you want to delete this Character ,Sind sie sicher das sie diesen Charakter löschen möchten 
CANCLE,Cancle,Abbrechen
DELETE,Delete,Löschen
TRADE,Trade,Handel
INVENTORY,Inventory,Inventar
ATTACK,Attack,Angriff
HEALTH,Health,Leben
KNOCKBACK,Knockback,Rückstoß
WORTH,Worth,Wert
ATTACK-SPEED,Speed,Geschw.
SPEED,Speed,Geschw.
WOODEN SWORD,Wooden Sword,Holzschwert
IRON SWORD,Iron Sword,Eisenschwert
GREAT SWORD,Great Sword,Großschwert
BALANCED SWORD,Balanced Sword,Ausgewogenes Schwert
EPIC SWORD,Epic Sword,Episches Schwert
LEGENDARY SWORD,Legendary Sword,Legendäres Schwert
LARGE DAGGER,Large Dagger,Großer Dolch
NORMAL AXE,Normal Axe,Normale Axt
GREATE AXE,Greate Axe,Großartige Axt
HEALTH POTION,Health Potion,Heiltrank
GOOD HEALTH POTION,Good Health Potion,Guter Heiltrank
RARE HEALTH POTION,Rare Health Potion,Seltener Heiltrank
AXE,Axe,Axt
PICKAXE,Pickaxe,Spitzhacke
LANTERN,Lantern,Laterne
TORCH,Torch,Fackel
CANDLE,Candle,Kerze
TREASURE KEY,Treasure Key,Schatztruhen Schlüssel
KEYS,Keys,Schlüssel
TREASURE,Treasure,Schatz
GREAT HEALTH POTION,Great Health Potion,Großer Heiltrank
APPLE,Apple,Apfel
CARROT,Carrot,Karotte
BREAD,Bread,Brot
MEAT,Meat,Fleisch
FISH,Fish,Fisch
COPPER SAND,Copper Sand,Kupfer Sand
COAL SAND,Coal Sand,Kohle Staub
MAGIC ORE SAND,Magic Ore Sand,Magischer Erzsand
MAGIC SAND,Magic Sand,Magischer Sand
IRON SAND,Iron Sand,Eisen Staub
IRON,Iron,Eisen
COPPER,Copper,Kupfer
COAL,Coal,Kohle
MAGIC ORE,Magic Ore,Magisches Erz
MAGIC CLUMP,Magic Clump,Magischer Klumpen
MAGIC BARS,Magic Bars,Magischer Barren
MAGIC ORE BARS,Magic Ore Bars,Magischer Erzbarren
COAL BARS,Coal Bars,Kohlebarren
COPPER BARS,Copper Bars,Kupferbarren
IRON BARS,Iron Bars,Eisenbarren
DIAMOND,Diamond,Diamant
RUBIN,Rubin,Rubin
SMARAGD,Smaragd,Smaragd
SAPHIR,Saphir,Saphir
TYPE A LEAF,Type A Leaf,Typ A Blatt
TYPE B LEAF,Type B Leaf,Typ B Blatt
TYPE C LEAF,Type C Leaf,Typ C Blatt
MUSHROOM,Mushroom,Pilz
PLANT ONION,Plant Onion,Pflanzenzwiebel
ROOT,Root,Wurzel
PEBBLE,Pebble,Kiesel
FOSSIL,Fossil,Fossil
ANIMAL FUR,Animal Fur,Tierfell
MONSTER TOOTH,Monster Tooth,Monsterzahn
FEATHER,Feather,Feder
GREAT EMPTY FLASK,Great Empty Flask,Große Leere Flasche
EMPTY FLASK,Empty Flask,Leere Flasche
MOVEMENT,Movement,Bewegung
RUN,Run,Rennen
INVENTORY,Inventory,Inventar
MENU,Menu,Menü
CONTROLLS,Controlls,Steuerung
MOUSE,Left mouse,Maustaste
INTERACTION,Interaction,Interagieren
SPLITITEMS,Split items,Aufteilen
CLOSE,Close,Schließen
CLOSE_PANEL,Close (E),Schließen (E)
CLOSEMENU,Close menu, Menü schließen
LOOTALL,Loot All (F),Alles Nehmen (F)
LOOT_ALL,Loot All,Alles Nehmen
LOOT,Looting,Aufnehmen
LEVEL,Lvl,Lvl
DEATH_MESSAGE, YOU DIED!, DU BIST GESTORBEN!
LIGHT,Light,Licht
Radius,Radius,Radius
USEITEM,Use item, Item benutzen
RIGHTMOUSE,Right\nmouse,Rechte\nMaustaste
USE_INV_ITEM,Use with right click,Nutzen mit Rechtsklick
BOSS_FUNGUS, DANGEROUS FUNGUS, GEFÄHRLICHER PILZ
BOSS_GHOST, DEADLY GHOST, TÖTLICHER GEIST
BOSS_ORBINAUT, TERRIBLE ORBINAUT, SCHRECKLICHER ORBINAUT
BOSS_SKELETON, GIANT SKELETON, RIESIGES SKELET
BOSS_SMALL_SLIME, KILLER SLIME, KILLER SLIME
BOSS_ZOMBIE, ANGRY ZOMBIE, ZORNIGER ZOMBIE
OPEN,Open,Offen
FULL_INV,Your Inventory is full,Dein Inventar ist voll
STAMINA,Stamina,Ausdauer
STAMINA POTION,Stamina Potion,Ausdauertrank
GOOD STAMINA POTION,Good Stamina Potion,Guter Ausdauertrank
RARE STAMINA POTION,Rare Stamina Potion,Seltener Ausdauertrank
GREAT STAMINA POTION,Great Stamina Potion,Großer Ausdauertrank
DELETEITEM,Discard Item,Item wegwerfen
DISCARD,Discard,Wegwerfen
LOST_ITEMS,You lost these items,Du hast diese Items verloren
DEATH,You lost,Du hast verloren
MAP,Map,Karte
SAVED,Saved,Gespeichert
CREDITS,Credits,Credits
SKIP,Skip,Überspringen
QUEST1,Rumbling from the depths,Grollen aus der Tiefe
QUEST2,Rumbling boss,Grollender Boss
QUEST3,Rumbling Mobs,Grollende Monster
QUEST1_TASK,Slay a terrible boss in any dungeon,Erlege einen schrecklichen Boss in einem beliebigen Dungeon
QUEST2_TASK,Slay a terrible boss,Erlege einen schrecklichen Boss
QUEST3_TASK,Slay 20 mobs,Erlege 20 Monster
ABORT,Cancel current quest,Aktuelle Quest abbrechen
REWARD_FULL,There is not enough space in your inventory for the reward. Please come back with more free inventory spaces.,In deinem Inventar ist nicht genug Platz für die Belohnung. Bitte komm mit mehr freien Inventarplätzen zurück.
